HostFName	HostGName	HostSpName	HostSSpName	HostAuthorName
Myrtaceae	Babingtonia	behrii		(Schltdl.) A.R. Bean
Myrtaceae	Pileanthus	bellus		N.G.Marchant & Keighery ms
Poaceae	Eriachne	benthamii		Hartley
Myrtaceae	Baeckea	benthamii ms		Trudgen
Fagaceae	Quercus	berberidifolia		Liebm.
Rosaceae	Cercocarpus	betuloides	var. betuloides	Torr. & A. Gray
Rosaceae	Cercocarpus	betuloides		Torr. & A. Gray
Lamiaceae	Dicrastylis	beveridgei		F.Muell.
Verbenaceae	Dicrastylis	beveridgei	var. beveridgei	F. Muell.
Lamiaceae	Dicrastylis	beveridgei	var. beveridgei	F.Muell.
Fabaceae-Mimosaceae	Vachellia	bidwellii		(Benth.) Kodela
Myoporaceae	Eremophila	bignoniiflora		(Benth.) F. Muell.
Zygophyllaceae	Nitraria	billardierei		DC.
Nitrariaceae	Nitraria	billardierei		DC.
Droseraceae	Drosera	binata		Labill.
Asteraceae	Garuleum	bipinnatum		(Thunb.) Less.
Chenopodiaceae	Sclerolaena	birchii		(F. Muell.) Domin
Verbenaceae	Junellia	bisulcata		(Hayek) Moldenke
Fabaceae	Bolusafra	bituminosa		(L.) Kuntze
Mimosaceae	Acacia	bivenosa		DC.
Fabaceae	Acacia	bivenosa		DC.
Lamiaceae	Hemigenia	boerhaaviifolia		G.R. Guerin
Solanaceae	Grabowskia	boerhaaviifolia		(L.f.) Schltdl.
Fagaceae	Quercus	bolanyosensis		Trel
Fabaceae	Caesalpinia	bonduc		(L.) Roxb.
Proteaceae	Conospermum	boreale		E.M.Benn.
Proteaceae	Conospermum	boreale		E.M. Benn.
Fabaceae	Indigofera	boviperda	boviperda	Morrison
Proteaceae	Persoonia	bowgada		P.H. Weston
Myoporaceae	Eremophila	bowmanii		F. Muell.
Mesembryanthemaceae	Lampranthus	brachyandrus		(L. Bolus) N.E.Br.
Fabaceae	Acacia	brachybotrya		Benth.
Fabaceae	Acacia	brachystachya		Benth.
Fabaceae	Acacia	brachystachya?		Benth.
Myrtaceae	Melaleuca	bracteata		F.Muell.
Xanthorrhoeaceae	Xanthorrhoea	bracteata		R.Br.
Asteraceae	Xerochrysum	bracteatum		(Vent.) Tzvelev
Papilionaceae	Indigofera	brevidens		Benth.
Myrtaceae	Melaleuca	brevifolia		Turcz.
Chenopodiaceae	Maireana	brevifolia		(R. Br.) Paul G. Wilson
Myrtaceae	Calytrix	brevifolia		(Meisn.) Benth.
Asteraceae	Eriocephalus	brevifolius		(DC.) M.A.N. Mull.
Myrtaceae	Leptospermum	brevipes		F. Muell.
Myrtaceae	Calytrix	breviseta	stipulosa	(W. Fitzg.) Craven
Goodeniaceae	Scaevola	browniana	subsp. browniana	Carolin
Myrtaceae	Verticordia	brownii		(Desf.) DC.
Papilionaceae	Gastrolobium	brownii		Meisn.
Rutaceae	Philotheca	brucei	cinerea	(Paul G. Wilson) Paul G. Wilson
Rutaceae	Philotheca	brucei	baccata	(F. Muell.) Paul G. Wilson
Ericaceae	Erica	bruniifolia		Salisb.
Chenopodiaceae	Atriplex	bunburyana		F. Muell.
Chenopodiaceae	Atriplex	bunburyana		F.Muell.
Apiaceae	Xanthosia	bungei		Keighery
Asteraceae	Senecio	burchellii		DC.
Fabaceae	Acacia	burkittii		Benth.
Celastraceae	Gymnosporia	buxifolia		(L.) Szyszyl.
Proteaceae	Grevillea	buxifolia		(Sm.) R. Br.
Apocynaceae	Alyxia	buxifolia		R. Br.
Rhamnaceae	Ceanothus	buxifolius		Wiild.
Euphorbiaceae	Longetia	buxoides		Baill.
Malvaceae	Keraudrenia	cacaobrunnea		C.F. Wilkins
Scrophulariaceae	Sutera	caerulea		(L.) Hiern
Phormiaceae	Dianella	caerulea		Sims
Myoporaceae	Eremophila	caerulea		(S. Moore) Diels
Proteaceae	Grevillea	cagiana		McGill.
Fabaceae	Acacia	calamifolia		Sweet ex Lindl.
Goodeniaceae	Goodenia	calcarata		(F.Muell.) F.Muell.
Papilionaceae	Jacksonia	calcicola		Chappill
Fabaceae	Amorpha	californica		Nutt.
Cupressaceae	Juniperus	californica		Carr.
Asteraceae	Artemisia	californica		Less.
Rhamnaceae	Rhamnus	californica	ssp. tomentella	(Benth.) C.B. Wolf
Hippocastanaceae	Aesculus	californica		(Spach) Nutt.
Asteraceae	Gutierrezia	californica		(DC.) Torr. & Gray
Rhamnaceae	Rhamnus	californica		Eschsch.
Sterculiaceae	Fremontodendron	californicum		(Torr.) Corville
Hydrophyllaceae	Eriodictyon	californicum		(Hook. & Arn.) Torr.
Asteraceae	Gnaphalium	californicum		DC.
Sterculiaceae	Fremontodendron	californicum		(Torr.) Coville
Liliaceae	Veratrum	californicum		Durand
Myrtaceae	Tristaniopsis	callobuxus		Brongn. & Gris
Myrtaceae	Eucalyptus	calycogona		Turcz.
Myrtaceae	Eucalyptus	camaldulensis		
Myrtaceae	Eucalyptus	camaldulensis	var. obtusa	Blakely
Myrtaceae	Eucalyptus	camaldulensis		Dehnh.
Verbenaceae	Lantana	camara		L.
Loranthaceae	Amyema	cambagei		(Blakely) Danser
Fabaceae	Acacia	cambagei ?		R. Baker
Lamiaceae	Prostanthera	campbellii		F. Muell.
Lamiaceae	Prostanthera	campbellii		F.Muell.
Aceraceae	Acer	campestre		L.
Brassicaceae	Lepidium	campestre		(I.) W.T. Aiton
Casuarinaceae	Allocasuarina	campestris		(Diels) L.A.S. Johnson
Casuarinaceae	Allocasuarina	campestris		(Diels) L.A.S.Johnson
Asteraceae	Flourensia	campestris		Griseb.
Casuarinaceae	Allocasuarina	campestris	campestris	(Diels) L.A.S. Johnson
Rutaceae	Phebalium	canaliculatum		(F. Muell. & Tate) J.H. Willis
Proteaceae	Conospermum	canaliculatum		Meisn.
Chenopodiaceae	Rhagodia	candolleana		Moq.
Chenopodiaceae	Atriplex	canescens		(Pursh) Nutt.
Asteraceae	Machaeranthera	canescens		(Pursh) A. Gray
Cupressaceae	Callitris	canescens		(Parl.) S.T.Blake
Capparaceae	Capparis	canescens		Banks ex DC.
Fabaceae	Glycine	canescens		F.J. Herm.
Viscaceae	Viscum	capense		L.f.
Loranthaceae	Viscum	capense		
Menispermaceae	Cissampelos	capensis		L.f.
Acanthaceae	Blepharis	capensis		(L.f.) Pers.
Restionaceae	Rhodocoma	capensis		Nees ex Steud.
Rutaceae	Agathosma	capensis		Dummer
Myoporaceae	Eremophila	caperata		Chinnock
Myoporaceae	Eremophila	caperata		Chinnock ms
Myrtaceae	Verticordia	capillaris		A.S. George
Myrtaceae	Scholtzia	capitata		Benth.
Cyperaceae	Ficinia	capitella		(Thunb.) Nees
Myrtaceae	Darwinia	capitellata		Rye
Myrtaceae	Melaleuca	cardiophylla		F.Muell.
Fabaceae	Senna	cardiosperma		(F.Muell.) Randell
Poaceae	Amphipogon	caricinus	var. caricinus	F.Muell.
Myrtaceae	Calytrix	carinata		Craven
Tiliaceae	Corchorus	carnarvonensis		Halford
Asteraceae	Didelta	carnosa		(L.f.) Ait.
Umbelliferae	Daucus	carota		L.
Apiaceae	Daucus	carota		L.
Euphorbiaceae	Phyllanthus	carpentariae		Mull. Arg.
Asteraceae	Schoenia	cassiniana		(Gaudich.) Steetz
Fagaceae	Quercus	castanea		Née
Mimosaceae	Acacia	catenulata		C.T. White
Fabaceae	Acacia	caven		(Molina) Molina
Pinaceae	Pinus	cembroides		Zucc.
Solanaceae	Solanum	centrale		J.M.Black
Chloanthaceae	Newcastelia	cephalantha		F. Muell.
Lamiaceae	Westringia	cephalantha		F.Muell.
Apocynaceae	Pagiantha	cerifera		(Pancher & Seb.) Markgr.
Fagaceae	Quercus	cf. acutifolia		Née
Lamiaceae	Salvia	cf. africana-caerulea		L.
Fabaceae	Prosopis	cf. alba		Griseb.
Solanaceae	Lycium	cf. amoenum		Dammer
Lauraceae	Cryptocarya	cf. aristata		Kosterm.
Aizoaceae	Galenia	cf. crystalline		(Eckl. & Zeyh.) Fenzl
Lamiaceae	Salvia	cf. disermas L.		L.
Fagaceae	Quercus	cf. durifolia		Seem.
Chenopodiaceae	Atriplex	cf. eardleyae		Aellen
Fagaceae	Quercus	cf. eduardii		Trel
Malvaceae	Anisodontea	cf. fruticosa		(Berg.)
Aizoaceae	Tetragonia	cf. glauca		Fenzl
Chenopodiaceae	Chenopodium	cf. hubbardii		Aellen
Fagaceae	Quercus	cf. hypoleucoides		A. Camus
Rutaceae	Agathosma	cf. imbricata		(L.) Willd.
Fabaceae	Acacia	cf. karroo		Hayne
Aizoaceae	Antimima	cf. koekenaapensis		(L. Bolus) H.E.K. Hartmann
Fagaceae	Quercus	cf. liebmanii		Oerst.
Aizoaceae	Ruschia	cf. multiflora		(Haw.) Schwantes
Solanaceae	Solanum	cf. nemophilum		F. Muell.
Apocynaceae	Oxera	cf. neriifolia		(Montrouz.) Beauvis.
Fabaceae	Prosopis	cf. nigra		(Griseb.) Hieron.
Fabaceae	Wiborgia	cf. obcordata		(Berg.) Thunb.
Fabaceae	Acacia	cf. platycarpa	(leptoloba)		F. Muell.
Fagaceae	Quercus	cf. rugosa		Née
Aizoaceae	Galenia	cf. sarcophylla		Fenzl
Ficoidaceae	Leipoldtia	cf. schultzei		(Schltr. & Diels) Friedrich
Fabaceae	Lebeckia	cf. sericea		Thurb.
Aizoaceae	Ruschia	cf. subpaniculata		L.Bolus
Asteraceae	Athanasia	cf. trifurcata		(L.) L.
Oleaceae	Fraxinus	cf. velutina		Torr.
Myrtaceae	Melaleuca	cf. viminea		
Mimosaceae	Acacia	chartacea		Maslin
Leguminosae	Prosopis	chilensis		(Molina) Stuntz
Fabaceae	Prosopis	chilensis		(Molina) Stuntz
Asteraceae	Rhodanthe	chlorocephala	rosea	(Hook.) Paul G. Wilson
Proteaceae	Hakea	chordophylla		F. Muell.
Myrtaceae	Verticordia	chrysantha		Endl.
Myrtaceae	Verticordia	chrysanthella		A.S. George
Mimosaceae	Acacia	chrysocephala		Maslin
Fagaceae	Quercus	chrysolepis		Liebm.
Lamiaceae	Physopsis	chrysophylla		(C.A. Gardner) Rye
Fabaceae	Rhynchosia	chrysoscias		Benth.
Hydrophyllaceae	Phacelia	cicutaria		Greene
Asteraceae	Brachyscome	ciliaris	var. lanuginosa	(Steetz) Benth.
Poaceae	Cenchrus	ciliaris		L.
Fabaceae	Aspalathus	ciliaris		L.
Thymelaeaceae	Struthiola	ciliata		(L.) Lam.
Myrtaceae	Micromyrtus	ciliata		(Smith) Druce
Lamiaceae	Hemigenia	ciliata		G.R. Guerin
Asteraceae	Chrysocoma	ciliata		L.
Anacardiaceae	Searsia	ciliata		(Licht. ex Schult.) A. Mill
Euphorbiaceae	Croton	ciliatoglandulifer		Ort.
Epacridaceae	Lysinema	ciliatum		R. Br.
Asteraceae	Pteronia	cinerea		(DC.)
Chenopodiaceae	Atriplex	cinerea		Poir.
Solanaceae	Lycium	cinereum		Thurb.
Poaceae	Leymus	cinereus		(Scribn. & Merr.) A. Love
Restionaceae	Thamnochortus	cinereus		Linder (male)
Mimosaceae	Acacia	citrinoviridis		Tindale & Maslin
Cyperaceae	Gahnia	clarkei		Benl
Myoporaceae	Eremophila	clarkei		A.F. Oldfield & F. Muell.
Scrophulariaceae	Eremophila	clarkei		A.F. Oldfield & F. Muell.
Scrophulariaceae	Eremophila	clavata		Chinnock
Myoporaceae	Eremophila	clavata		Chinnock
Thymelaeaceae	Pimelea	clavata		Labill.
Malvaceae	Sida	clementii		Domin
Solanaceae	Solanum	coactiliferum		J.M.Black
Fagaceae	Quercus	coccifera		L.
Chenopodiaceae	Atriplex	codonocarpa		Paul G. Wilson
Apiaceae	Trachymene	coerulea		Graham
Mimosaceae	Acacia	colei	var. colei	Maslin & L. Thomson
Fabaceae	Acacia	colletioides		Benth.
Casuarinaceae	Casuarina	collina		Poiss. ex Pancher & Sebert
Cupressaceae	Callitris	columellaris		F.Muell
Cupressaceae	Callitris	columellaris		F.Muell.
Cupressaceae	Callitris	columellaris		
Convolvulaceae	Porana	commixta		Staples
Proteaceae	Grevillea	commutata	subsp. commutata	F.Muell.
Melianthaceae	Melianthus	comosus		Vahl
Papilionaceae	Swainsona	complanata		Joy Thomps.
Rhamnaceae	Stenanthemum	complicatum		(F. Muell.) Rye
Asteraceae	Ambrosia	confertiflora		DC.
Asteraceae	Eriophyllum	confertiflorum		(DC.)
Asteraceae	Eriophyllum	confertiflorum		(DC.) A. Gray
Asteraceae	Ambrosia	confertifolia		DC.
Myrtaceae	Lophostemon	confertus		(R. Br.) Peter G.Wilson & J.T. Waterh.
Sterculiaceae	Hermannia	confusa		Salter
Loranthaceae	Amyema	congener	subsp. rotundifolia	Barlow
Loranthaceae	Amyema	congener	congener	(Schultes & J.H. Schultes) Tieghem
Asteraceae	Cratystylis	conocephala		(F. Muell.) S. Moore
Myrtaceae	Melaleuca	conothamnoides		C.A. Gardner
Mimosaceae	Acacia	consanguinea		R.S. Cowan & Maslin ms
Dilleniaceae	Hibbertia	conspicua		(Harv.) Gilg
Apocynaceae	Alstonia	constricta		F. Muell.
Viscaceae	Viscum	continuum		E. Mey. ex  Sprague
Pinaceae	Pinus	contorta		Douglas ex Louden
Poaceae	Aristida	contorta		F.Muell.
Poaceae	Heteropogon	contortus		(L.) Roem. & Schult.
