HostMNLUID	familyHostMNL	genusHostMNL	speciesHostMNL	subspeciesHostMNL	authorHostMNL	oldHOstAuthor	oldHOstFamily
10502	Euphorbiaceae	Macaranga	sp.	no subspecies	none		Euphorbiaceae
10581	Geraniaceae	Pelargonium	sp.	no subspecies	none		Geraniaceae
10481	Fabaceae	Aspalathus	sp.	no subspecies	none		Fabaceae
12625	Fabaceae	Senna	sp.	no subspecies	none	Mill.	Fabaceae
10128	Amaranthaceae	Chenopodium	sp.	no subspecies	none		Chenopodiaceae
10322	Myrtaceae	Thryptomene	sp.	no subspecies	none		Myrtaceae
15876	Blechnaceae	Blechnum	sp.	no subspecies	none		Blechnaceae
10340	Sapindaceae	Dodonaea	sp.	no subspecies	none		Sapindaceae
10348	Scrophulariaceae	Eremophila	sp.	no subspecies	none	R. Br.	Scrophulariaceae
14261	Myoporaceae	Eremophila	sp.	no subspecies	none	R. Br.	Scrophulariaceae
10348	Scrophulariaceae	Eremophila	sp.	no subspecies	none	R. Br.	Myoporaceae
14261	Myoporaceae	Eremophila	sp.	no subspecies	none	R. Br.	Myoporaceae
10453	Brassicaceae	Descurainia	sp.	no subspecies	none		Brassicaceae
10326	Myrtaceae	Astartea	sp.	no subspecies	none		Myrtaceae
10323	Myrtaceae	Baeckea	sp.	no subspecies	none		Myrtaceae
10330	Scrophulariaceae	Verbascum	sp.	no subspecies	none		Scrophulariaceae
12940	Cyperaceae	Lepidosperma	sp.	no subspecies	Pigeon Rocks (H. Pringle 30237)		Cyperaceae
10359	Asteraceae	Helichrysum	sp.	no subspecies	none		Compositae
9728	Asteraceae	Artemisia	sp.	no subspecies	none		Asteraceae
10901	Boraginaceae	Phacelia	sp.	no subspecies	none		Hydrophyllaceae
10397	Myrtaceae	Eucalyptus	sp.	no subspecies	none		Myrtaceae
10425	Asparagaceae	Yucca	sp.	no subspecies	none		Asparagaceae
10342	Proteaceae	Banksia	sp.	no subspecies	none		Proteaceae
10201	Ephedraceae	Ephedra	sp.	no subspecies	none		Ephedraceae
10401	Fabaceae	Psoralea	sp.	no subspecies	none		Fabaceae
10560	Fagaceae	Castanea	sp.	no subspecies	none		Fagaceae
10321	Aizoaceae	Drosanthemum	sp.	no subspecies	none		Mesembryanthemaceae
10350	Euphorbiaceae	Beyeria	sp.	no subspecies	none		Euphorbiaceae
10485	Myrtaceae	Kunzea	sp.	no subspecies	none		Myrtaceae
10674	Fabaceae	Archidendropsis	sp.	no subspecies	none		Fabaceae
10348	Scrophulariaceae	Eremophila	sp.	no subspecies	none		Myoporaceae
14261	Myoporaceae	Eremophila	sp.	no subspecies	none		Myoporaceae
10269	Pinaceae	Pinus	sp.	no subspecies	none		Pinaceae
10496	Malvaceae	Sida	sp.	no subspecies	none	L.	Malvaceae
10194	Rosaceae	Cercocarpus	sp.	no subspecies	none		Rosaceae
10469	Lamiaceae	Mentha	sp.	no subspecies	none		Lamiaceae
10420	Fabaceae	Wiborgia	sp.	no subspecies	none	(E. Mey.) Dahlgren	Fabaceae
12150	Malvaceae	Abutilon	sp.	no subspecies	none		Malvaceae
