FieldHostUID	ColEventUID	HostNumber	FieldIdent	FieldNotes	CreateDate	UpdateDate	CreatedBy	UpdatedBy	TripUID	HostF	HostG	HostSp	HostSSp	HostAuthor	HostDetBy	HerbID	history
1398	11061	H073	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	85	577	2241	0	3403	NBG staff	voucher-NYBG	Anacardiaceae;Rhus;incisa;L.f.;NBG staff;voucher-NYBG
1399	11061	H076	NULL	NULL	2006-01-09	2007-04-04	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	211	1842	916	0	0	C Cupido	voucher-NYBG	Fabaceae;Wiborgia;sp.;C Cupido;voucher-NYBG
1400	11061	H077	NULL	NULL	2006-01-09	2007-04-04	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	211	1842	916	0	0	C Cupido	voucher-NYBG	Fabaceae;Wiborgia;sp.;C Cupido;voucher-NYBG
1401	11062	H017	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	98	1745	2435	0	3076	NBG staff	voucher-NYBG	Asteraceae;Oncosiphon;piluliferum;(L.f.) Kallersjo;NBG staff;voucher-NYBG
1402	11062	H071	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	98	1664	1876	0	3217	J Manning	voucher-NYBG	Asteraceae;Hirpicium;alienatum;(Thunb.) Druce;J Manning;voucher-NYBG
1403	11062	H070	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	32	1812	2294	0	3275	K Roux	voucher-NYBG	Thymelaeaceae;Struthiola;leptantha;Bol.;K Roux;voucher-NYBG
1404	11062	H025	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	18	1660	2088	0	1386	NBG staff	voucher-NYBG	Sterculiaceae;Hermannia;disermifolia;Jacq.;NBG staff;voucher-NYBG
1405	11062	H020	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	85	577	2226	0	3327	K Roux	voucher-NYBG	Anacardiaceae;Rhus;horrida;Eckl. & Zeyh.;K Roux;voucher-NYBG
1406	11062	H019	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	85	577	1279	0	1386	K Roux	voucher-NYBG	Anacardiaceae;Rhus;undulata;Jacq.;K Roux;voucher-NYBG
1407	11063	H059	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	98	1626	2285	0	3075	J Manning	voucher-NYBG	Asteraceae;Euryops;lateriflorus;(L.f.) DC.;J Manning;voucher-NYBG
1408	11063	H069	NULL	NULL	2006-01-09	2007-04-04	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	211	1517	1858	2695	3216	C Cupido	voucher-NYBG	Fabaceae;Aspalathus;acuminata;acuminata;(Thunb.) Dahlgren;C Cupido;voucher-NYBG
